id	lingala	partOfSpeech	english	new_category
mombongo	mombongo	noun	business / trade	
momeseno	momeseno	noun	custom / habit	
mondele	mondele	noun	white person / European	
mondenge	mondenge	noun	bet / wager	
monene	monene	adjective	big / great	
nene	monene	adjective	big	
monganga	monganga	noun	doctor	
mokangi	mongongo	noun	fly (insect)	
monguna	monguna	noun	enemy	
monili	monini	noun	electricity	
light	monkalali	noun	lightning	
mono-solo	mono solo	noun	stinky asshole (vulgar insult)	
monoko	monoko	noun	mouth / language	
likolo	monzemba	noun	single / unmarried	
mopanzi	mopanzi	noun	side / coast	
mopaya	mopaya	adjective	foreigner / stranger	
mopenzi	mopenzi	noun	side / flank	
sala	mosala	verb	work (variant)	
mosapi	mosapi	noun	finger	
mosika	mosika	adjective	far	
mosolo	mosolo	noun	dowry	
mosombi	mosombi	noun	buyer	
other	mosusu	verb	other / another	
susu	mosusu	adjective	other / another	
motekinyama	moteki-nyama	noun	butcher	
motele	motele	noun	engine / motor	
motengoli-zoba	motengoli zoba	noun	limping idiot / clumsy fool (insult)	
motongindako	motongi-ndako	noun	builder / mason	
moyibi	moyibi	noun	thief / burglar / robber	
moyindo	moyindo	adjective	black / dark (colloquial variant of moindo)	
mpamba	mpamba	adjective	empty	
mpamba-useless	mpamba	adjective	useless / in vain	
mpasi	mpasi	noun	difficulty / suffering	
mpe	mpe	adverb	also / and	
mpema	mpema	noun	air / breath	
mpembe	mpembe	noun	ivory / white	
mpete	mpete	noun	earring / ring	
mpiko	mpiko	noun	courage / endurance / stamina	
mpo	mpo	conjunction	because / for	
mpona	mpo na	preposition	for / in order to	
mpondu	mpondu	noun	cassava leaves (saka-saka)	
mposa	mposa	noun	appetite / desire	
kwire	mposo ya nyama	noun	leather	
leather	mposo ya nyama	noun	leather (hide)	
mpunda	mpunda	noun	donkey / horse	
mputu	mputu	noun	poverty / severe hardship	
mu-pron	mu	pronoun	I / me (regional/archaic, from Kikongo)	
muga	muga	noun	fool / sucker / mark (slang)	
muga-zoba	muga zoba	noun	prime sucker / easy mark (hustler slang)	
munoko-mpamba	munoko mpamba	noun	loudmouth / empty talker (derogatory)	
munoko-solo	munoko solo	noun	stinky mouth / garbage breath (insult)	
mutu-gbagba	mutu gbagba	noun	blockhead / empty head (insult)	
mutu-tufi	mutu tufi	noun	shit-head (vulgar insult)	
mwa-little	mwa	adverb	a little / slightly / a bit of	
mwanaekolo	mwana ekolo	noun	citizen	
mwampata	mwana ya mpata	noun	lamb	
lingato	mwango	noun	walking stick	
mwasi-ya-mamba	mwasi ya mamba	noun	prostitute / sex worker (derogatory)	
mwasi-ya-zando	mwasi ya zando	noun	loud market woman (stereotype slur)	
mokbya	mwasi-mokufeli	noun	widow	
mwaye	mwaye	noun	loose / easy woman (slang derogatory)	
ligbongo	mwinda	noun	light / lamp	
mwinda	mwinda	noun	lamp / light	
na	na	conjunction	and / with	
nabomoi	na bomoi	adjective	alive	
nakati	na kati	preposition	inside	
yoka	na kati	verb	inside	
nalikolo	na likolo	adverb	above / on top	
tribunali	na mpasi	noun	with difficulty	
nanse	na nse	preposition	below / under	
naye	na ye	adjective	his / hers	
naino	naino	adverb	still / yet	
ndakonzambe	ndako-nzambe	noun	church	
ndambo	ndambo	noun	a bit / portion	
ndeko	ndeko	noun	sibling / relative	
ndelo	ndelo	noun	border / limit	
lemon	ndimo	noun	lemon	
ndimo	ndimo	noun	lemon / citrus	
ndoto	ndoto	noun	dream	
ndunda	ndunda	noun	vegetables / greens	
nga-pron	nga	pronoun	me / I (street shorthand for ngai)	
ngai	ngai	pronoun	me / I	
nganda	nganda	noun	bar / hangout	
ngangankisi	nganga-nkisi	noun	traditional healer	
nganganzambe	nganga-nzambe	noun	priest	
ngenge	ngenge	noun	poison	
ngola	ngola	adjective	red	
ngomba	ngomba	noun	hill / mountain	
ngombamoto	ngomba-moto	noun	volcano	
ngombe	ngombe	noun	cow / cattle	
lisasi	ngomolo	noun	horn (of animal)	
ngonga	ngonga	noun	bell / hour	
nguba	nguba	noun	peanut / groundnut	
ngulu	ngulu	noun	pig	
nguma	nguma	noun	boa / large snake	
ngungutu	ngungutu	noun	eggplant	
niama-insult	niama	noun	beast / animal (insult)	
niama-ndako	niama ndako	noun	lazy house beast / domestic idiot (insult)	
nkondoko	niau	noun	cat	
nii-what	nii	pronoun	what? (street shortcut for nini)	
nkalanga	nkalanga	noun	groundnuts / roasted peanuts	
lesson	nkanda	noun	letter (written)	
letter	nkanda	noun	letter	
nkanda	nkanda	noun	anger / wrath	
nkanya	nkanya	noun	fork	
nkinga	nkinga	noun	bicycle	
nkisi	nkisi	noun	medicine / charm	
nkisi-ya-mabele	nkisi ya mabele	noun	traditional remedy / earth medicine	
nkoba	nkoba	noun	tortoise / turtle	
nkoi	nkoi	noun	leopard	
nkoko	nkoko	noun	sugar cane	
nkonko	nkoko	noun	grandparent	
nkolo	nkolo	noun	owner / master	
nkongo	nkongo	noun	hoe	
nkoni	nkoni	noun	firewood	
nkosi	nkosi	noun	lion	
nkoso	nkoso	noun	parrot	
nkulutu	nkulutu	adjective	elder / older sibling	
nkungi	nkungi	noun	mosquito	
noki	noki	adverb	immediately / quickly	
noko	noko	noun	maternal uncle	
nordi	nordi	adjective	north	
nsai	nsai	noun	joy	
nsamba	nsamba	noun	palm wine	
nsambonsamboh	nsambo	adjective	seven (variant entry)	
nsango	nsango	noun	news	
nse	nse	noun	bottom / under	
nsomo	nsomo	adjective	awful / terrifying	
nsongo	nsongo	noun	cassava (uncertain)	
soni	nsoni	adjective	shame	
nsoso	nsoso	noun	chicken	
nsosomwasi	nsoso mwasi	noun	hen	
limfelo	nsuka	noun	limit / end	
nsuka	nsuka	noun	end	
ntaka	ntaka	noun	distance	
ntalomingi	ntalo mingi	adjective	expensive	
mister	ntalo moke	adjective	cheap / low value	
mobobe	ntalo moke	adjective	cheap / inexpensive	
ntoki	ntoki	noun	art / skill	
ntongonyonso	ntongo nyonso	adverb	every morning / daily	
nyama-bamba	nyama bamba	noun	stray beast / low-life animal (insult)	
litama	nyama ya mpoka	noun	wild animal / game	
lunch	nyama ya ngombe	noun	beef	
you	nyonso	pronoun	all / every	
nzala	nzala	noun	hunger	
nzambe	Nzambe	noun	God	
nzela-mbeba	nzela mbeba	noun	path of destruction / criminal lifestyle (derogatory)	
nzela-ya-sima	nzela ya sima	noun	anal sex / "the back door" (vulgar)	
nzinzi	nzinzi	noun	fly (insect)	
nzoto	nzoto	noun	body	
o	o	preposition	at / in (locative)	
ontaka	o ntaka	preposition	between / among	
ogusiti	ogusiti	noun	August	
ou-interj	ou	interjection	yes / yeah (casual, from French oui)	
pamplemousse	pamplemousse	noun	grapefruit	
see	pasi ya lino	noun	toothache	
pasika	pasika	noun	Easter	
paya	paya	noun	visitor / stranger / guest (short form of mopaya)	
pembe	pembe	adjective	white / light-coloured / clean	
pembele	pembele	noun	edge / rim / margin	
pembeni	pembeni	preposition	beside / nearby / next to	
pene	pene	adverb	near / close by	
mbanzi	pene pene	noun	almost / nearly	
lembu	pete	adjective	soft / gentle	
molembu	pete	adjective	easy / soft	
sei	pete	adjective	comfortable / soft	
te	pete	adverb	soft	
peto	peto	adjective	clean / pure / untainted	
phase	phase	noun	scheme / street trick / hustle move	
yikinya	pine	verb	tire / wheel	
pipa	pipa	noun	barrel / drum container	
pitolo	pitolo	noun	kerosene / petrol	
polele	polele	adjective	clear / open	
polisi	polisi	noun	police officer / cop	
poto	poto	noun	Europe / abroad / the West	
pusi	pusi	noun	cat	
putulu	putulu	noun	dust	
puu-ideoph	puu	ideophone	(ideophone) spotlessly white / pure white	
rido	rido	noun	curtain	
n	rumatisimo	noun	rheumatism	
sa	sa	noun	watch / hour	
sabala	sabala	noun	Saturday	
saboni	saboni	noun	soap	
saki	saki	noun	sack / bag	
sambo	sambo	adjective	seven (variant)	
sanduku	sanduku	noun	box / chest	
sango	sango	noun	priest / news	
sani	sani	noun	plate / dish	
lovely	sanse	adverb	luck / chance	
sapato	sapato	noun	shoes / slippers	
sapele	sapele	noun	rosary	
se	se	adjective	same / only	
sefu	sefu	noun	chief / boss	
sekulo	sekulo	noun	century	
semba	sembo	adjective	straight / direct / honest	
samba	sembo / solo	adjective	correct / true	
semeki	semeki	noun	in-law / brother or sister-in-law	
semisi	semisi	noun	shirt	
sengele	sengeli	verb	must / ought	
septembere	setembele	noun	September	
shege	shege	noun	street child / homeless youth / pickpocket	
sika	sika	adjective	new	
sima	sima	preposition	after / behind	
sinema	sinema	noun	cinema / movies	
singa	singa	noun	line / string / rope	
sinzili	sinzili	noun	watchman / guard	
soda	soda	noun	soldier	
sofele	sofele	noun	driver / chauffeur	
soka	soka	noun	axe	
soki	soki	conjunction	if / when	
soko	soko	adverb	about / approximately	
solo	solo	adjective	truth / really	
songi-songi	songi-songi	noun	malicious gossip / backbiting (derogatory)	
soni-te	soni te	adjective	shameless person / brazen degenerate (derogatory)	
soseti	soseti	noun	sock	
sudi	sudi	adjective	south	
sukali	sukali	noun	sugar	
suku	suku	noun	room	
supu	supu	noun	soup	
tala	taba	verb	goat	
tala	tala	verb	look / watch (imperative)	
tambola	talatala	verb	mirror	
house	tana	verb	shine	
tane	tane	adjective	yellow / pale brown / amber	
tatankoko	tata	noun	father	
tatabana	tata nkoko	verb	grandfather	
tee	te	conjunction	no / not	
ti	televizyo	noun	television	
tekateke	tii	verb	until / till	
tika	tika	verb	stop / leave / abandon (imperative)	
tinda	tike	verb	ticket	
to-particle	to	particle	or (conjunction) / we (first-person plural prefix)	
toma	to-	verb	we (subject prefix)	
tonda	tomati	verb	tomato	
ngala	tour	noun	tower / fortress	
tumba	tribunali	verb	court / tribunal	
tshika	tshika	verb	to leave / to let / to abandon (regional variant of tika)	
tshobo	tshobo	noun	nutmeg / panna (in football)	
tu-adv	tu	adverb	all / completely (street short form of nyonso/tuku)	
tufi	tufi	noun	shit / crap (vulgar expletive)	
tufi-ya-mbwa	tufi ya mbwa	noun	dog shit (vulgar insult)	
velo	vatiri	noun	car	
vimba	velo	verb	bicycle	
wa-prep	wa	particle	of (archaic/regional genitive)	
wapi	wana	adverb	there / that one	
wela	wapi	verb	where	
wolo	wenze	noun	small market	
ya	wolo	verb	gold	
ya-particle	ya	particle	of (genitive / connective particle)	
yansuka	ya motuya	adjective	dear / precious	
yamba	ya nsuka	verb	last / final	
yaa-elder	yaa	noun	elder sibling / boss (respectful street address)	
yaka	yaka	verb	come (imperative)	
yango	yambo	pronoun	first / before	
yangomei	yango	pronoun	it / that	
yanola	yango moko	verb	itself	
yaya	yanuari	adjective	January	
ye	yaya	pronoun	elder sibling	
yemoko	ye	pronoun	him / her	
yeba	ye moko	verb	himself / herself	
yezu	Yesu	noun	Jesus	
yiba	Yezu	verb	Jesus (variant)	
yo	yindo	pronoun	black / dark	
yoh	yo	preposition	you (singular)	
yuli	yo moko	noun	yourself	
yoka	yoka	verb	listen / hear (imperative)	
yuni	yuli	noun	July	
yuma	yuma	noun	coward / wimp (derogatory)	
yuma-mabe	yuma mabe	noun	treacherous coward / spineless snake (insult)	
zabolo	yuni	noun	June	
zabolozabulu	zabolo	noun	devil	
zambi	zamba	noun	forest / bush	
zambi	zambi	conjunction	because (archaic form of mpo)	
zanga	zando	verb	market	
zelo	zelo	noun	sand	
zemi	zemi	noun	pregnancy	
zito	zito	adjective	heavy	
zoba	zoba	noun	idiot / fool	
zoba-mabe	zoba mabe	noun	absolute fool / malicious idiot (insult)	
zola	zola	noun	cheap moonshine / neighborhood liquor (slang)	
zolo-ya-libolo	zolo ya libolo	noun	"vagina-nose" — severe shock-insult	
zolongano	zolongano	noun	circle / round shape	
zongazonga	zongazonga	preposition	around	
zuwa	zuwa	noun	jealousy	
zwa	zwa	verb	take / receive / find (imperative)	
